Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10u","C_0805_2012Metric",138.2000,-96.4000,90.0000,top
"C102","10u","C_0805_2012Metric",128.2000,-95.2300,90.0000,top
"C103","10u","C_0805_2012Metric",128.2000,-117.7300,90.0000,top
"C104","10u","C_0805_2012Metric",138.1840,-118.9000,90.0000,top
"C105","10u","C_0805_2012Metric",138.1840,-103.9000,90.0000,top
"C106","10u","C_0805_2012Metric",128.2000,-102.7300,90.0000,top
"C107","10u","C_0805_2012Metric",128.2000,-110.2300,90.0000,top
"C108","10u","C_0805_2012Metric",138.2000,-111.4000,90.0000,top
"C109","0.1u","C_0603_1608Metric",148.4000,-120.2000,270.0000,top
"C110","0.1u","C_0603_1608Metric",148.4000,-92.7000,180.0000,top
"C111","0.1u","C_0603_1608Metric",148.4000,-106.1000,90.0000,top
"D101","Cree XM-L","LED_Cree_XM-L_20mm_Module",115.4080,-106.6980,0.0000,top
"D102","PMEG4030","D_SOD-123F",154.2000,-109.6000,270.0000,top
"J101","PJ-102AH","BarrelJack_CUI_PJ-102AH_Horizontal",153.6000,-102.3000,90.0000,top
"J102","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",157.2000,-109.2000,0.0000,top
"J103","JST 1.25mm","Molex_PicoBlade_53261-0871_1x08-1MP_P1.25mm_Horizontal",163.0000,-109.8000,270.0000,bottom
"L101","4.7u","L_Taiyo-Yuden_MD-4040",131.4160,-95.8000,180.0000,top
"L102","4.7u","L_Taiyo-Yuden_MD-4040",131.4000,-118.3000,180.0000,top
"L103","4.7u","L_Taiyo-Yuden_MD-4040",131.4000,-103.3000,180.0000,top
"L104","4.7u","L_Taiyo-Yuden_MD-4040",131.4160,-110.8000,180.0000,top
"MK101","Mounting_Hole_PAD","MountingHole_3.2mm_M3_ISO14580_Pad",95.2500,-93.3450,0.0000,top
"MK102","Mounting_Hole_PAD","MountingHole_3.2mm_M3_ISO14580_Pad",163.8300,-93.3450,0.0000,top
"MK103","Mounting_Hole_PAD","MountingHole_3.2mm_M3_ISO14580_Pad",163.8300,-121.2850,0.0000,top
"MK104","Mounting_Hole_PAD","MountingHole_3.2mm_M3_ISO14580_Pad",95.2500,-121.2850,0.0000,top
"Q101","Si2302CDS-T1","SOT-23",99.0000,-103.1000,0.0000,top
"Q102","Si2302CDS-T1","SOT-23",98.9000,-98.9000,0.0000,top
"Q103","Si2302CDS-T1","SOT-23",99.0000,-114.5000,0.0000,top
"Q104","Si2302CDS-T1","SOT-23",98.9000,-110.0000,0.0000,top
"R101","0.120","R_0805_2012Metric",102.4000,-102.3000,180.0000,top
"R102","0.270","R_0805_2012Metric",102.4000,-104.2000,180.0000,top
"R103","0.270","R_0805_2012Metric",102.4000,-99.9000,180.0000,top
"R104","0.120","R_0805_2012Metric",102.4000,-97.9000,180.0000,top
"R105","0.120","R_0805_2012Metric",102.4625,-113.7000,180.0000,top
"R106","0.270","R_0805_2012Metric",102.4625,-115.7000,180.0000,top
"R107","0.270","R_0805_2012Metric",102.4000,-111.1000,180.0000,top
"R108","0.120","R_0805_2012Metric",102.4000,-109.2000,180.0000,top
"R109","100","R_0603_1608Metric",95.7000,-102.1000,180.0000,top
"R110","100","R_0603_1608Metric",95.6000,-97.9000,180.0000,top
"R111","100","R_0603_1608Metric",95.7000,-113.5000,180.0000,top
"R112","100","R_0603_1608Metric",95.5875,-109.0000,180.0000,top
"R113","100","R_0603_1608Metric",146.9000,-120.2000,90.0000,top
"R114","100k","R_0603_1608Metric",145.4000,-120.2000,270.0000,top
"R115","100k","R_0603_1608Metric",143.9000,-120.2000,270.0000,top
"R116","100k","R_0603_1608Metric",142.4000,-120.2000,270.0000,top
"R117","33","R_0603_1608Metric",150.8000,-116.6000,0.0000,top
"R118","100","R_0603_1608Metric",146.9000,-106.1000,270.0000,top
"R119","100k","R_0603_1608Metric",142.4000,-106.1000,90.0000,top
"R120","100k","R_0603_1608Metric",143.9000,-106.1000,90.0000,top
"R121","100k","R_0603_1608Metric",145.4000,-106.1000,90.0000,top
"R122","33","R_0603_1608Metric",150.7000,-113.5000,180.0000,top
"U101","PAM2804","TSOT-23-5",135.5000,-95.7200,270.0000,top
"U102","PAM2804","TSOT-23-5",135.4840,-118.2200,270.0000,top
"U103","PAM2804","TSOT-23-5",135.4840,-103.2200,270.0000,top
"U104","PAM2804","TSOT-23-5",135.5000,-110.7000,270.0000,top
"U105","WS2811","SOIC-8_3.9x4.9mm_P1.27mm",145.4000,-115.9000,0.0000,top
"U106","74HC14D,653","SOIC-14_3.9x8.7mm_P1.27mm",146.2000,-98.2000,0.0000,top
"U107","WS2811","SOIC-8_3.9x4.9mm_P1.27mm",145.4000,-110.4000,0.0000,top
